customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,Charges_Ratio,High_Risk_Contract,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Tenure_Group_1-2 Years,Tenure_Group_2-4 Years,Tenure_Group_4-6 Years
7469-LKBCI,0,16,18.95,326.8,0,0.057986534333337385,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
8091-TTVAX,0,58,100.35,5681.1,0,0.01766383267736207,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
0280-XJGEX,0,49,103.7,5036.3,1,0.020590512835632284,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
5129-JLPIS,0,25,105.5,2686.05,0,0.03927700512173263,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
3655-SNQYZ,0,69,113.25,7895.15,0,0.014344249299450613,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
8191-XWSZG,0,52,20.65,1022.95,0,0.0201867146958628,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
9959-WOFKT,0,71,106.7,7382.25,0,0.014453587978660181,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
4190-MFLUW,0,10,55.2,528.35,1,0.10447619751157003,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4183-MYFRB,0,21,90.05,1862.9,0,0.04833861158227166,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
8779-QRDMV,1,1,39.65,39.65,1,0.999999747793254,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1680-VDCWW,0,12,19.8,202.25,0,0.09789863545618613,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1066-JKSGK,0,1,20.15,20.15,1,0.9999995037223307,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3638-WEABW,0,58,59.9,3505.1,0,0.017089383991642507,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
6322-HRPFA,0,49,59.6,2970.3,0,0.020065313200466908,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
6865-JZNKO,0,30,55.3,1530.6,0,0.036129622134263545,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6467-CHFZW,0,47,99.35,4749.15,1,0.02091953292500862,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
8665-UTDHZ,0,1,30.2,30.2,1,0.9999996688742818,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5248-YGIJN,0,72,90.25,6369.45,0,0.01416919826018071,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1
8773-HHUOZ,0,17,64.7,1093.1,1,0.059189460624010065,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
3841-NFECX,1,71,96.35,6766.95,0,0.014238320049300911,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
4929-XIHVW,1,2,95.5,181.65,0,0.52573627714086,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
6827-IEAUQ,0,27,66.15,1874.45,0,0.035290351648268284,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
7310-EGVHZ,0,1,20.2,20.2,0,0.9999995049507402,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3413-BMNZE,1,1,45.25,45.25,0,0.9999997790055737,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6234-RAAPL,0,72,99.9,7251.7,0,0.013776080072567703,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
6047-YHPVI,0,5,69.7,316.9,1,0.21994319280709398,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6572-ADKRS,0,46,74.8,3548.3,0,0.021080517371472204,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5380-WJKOV,0,34,106.35,3549.25,1,0.02996407683323497,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
8168-UQWWF,0,11,97.85,1105.4,1,0.08851999196200476,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
8865-TNMNX,0,10,49.55,475.7,0,0.1041622849661071,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9489-DEDVP,0,70,69.2,4872.35,0,0.014202592149162946,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
9867-JCZSP,0,17,20.75,418.25,0,0.0496114752035511,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
4671-VJLCL,0,63,79.85,4861.45,0,0.016425140613551225,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
4080-IIARD,0,13,76.2,981.45,0,0.07764022540485786,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
3714-NTNFO,0,49,84.5,3906.7,0,0.021629508225280907,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
5948-UJZLF,0,2,49.25,97.0,0,0.507731906419391,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7760-OYPDY,0,2,80.65,144.15,1,0.5594866070422055,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
7639-LIAYI,0,52,79.75,4217.8,0,0.018907961451685804,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1
2954-PIBKO,0,69,64.15,4254.1,0,0.015079570261442915,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
8012-SOUDQ,1,43,90.25,3838.75,0,0.02351025718395244,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
9420-LOJKX,0,15,99.1,1426.4,1,0.0694756024293634,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
6575-SUVOI,1,25,69.5,1752.65,0,0.03965423764211772,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
7495-OOKFY,1,8,80.65,633.3,1,0.1273488058211147,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4667-QONEA,1,60,74.85,4456.35,0,0.016796256988799673,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
1658-BYGOY,1,18,95.45,1752.55,1,0.054463495737847735,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
8769-KKTPH,0,63,99.65,6311.2,0,0.015789390265259558,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1
5067-XJQFU,1,66,108.45,7076.35,0,0.015325697548417337,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1
3957-SQXML,0,34,24.95,894.3,0,0.02789891504082618,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
5954-BDFSG,0,72,107.5,7853.7,0,0.01368781591646254,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1
0434-CSFON,0,47,100.5,4707.1,0,0.02135072545441838,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
1215-FIGMP,0,60,89.9,5450.7,0,0.016493294408987298,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0526-SXDJP,0,72,42.1,2962.0,0,0.01421336929705142,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0557-ASKVU,0,18,54.4,957.1,0,0.056838365303120204,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
5698-BQJOH,0,9,94.4,857.25,1,0.11011956710271723,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
5122-CYFXA,0,3,75.3,244.1,0,0.30848011845636547,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
8627-ZYGSZ,0,47,78.9,3650.35,0,0.021614365686538645,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
3410-YOQBQ,0,31,79.2,2497.2,0,0.0317155212569457,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
3170-NMYVV,0,50,20.15,930.9,0,0.021645718963951885,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
7410-OIEDU,0,10,79.85,887.35,0,0.08998703904899938,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2273-QCKXA,0,1,49.05,49.05,0,0.9999997961264432,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0731-EBJQB,0,52,20.4,1090.65,0,0.01870444213354933,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1891-QRQSA,1,64,111.6,7099.0,0,0.015720523995322547,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
8028-PNXHQ,0,62,24.25,1424.6,0,0.01702232193582534,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
5630-AHZIL,0,3,64.5,177.4,0,0.3635850978813361,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2673-CXQEU,1,56,110.5,6139.5,0,0.01799820829383792,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
6416-JNVRK,0,46,55.65,2688.85,0,0.020696580245470813,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
5590-ZSKRV,0,8,54.65,482.25,0,0.11332296291709772,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0191-ZHSKZ,1,30,74.75,2111.3,0,0.035404726777792224,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
3887-PBQAO,0,45,25.9,1216.6,0,0.021288837569547612,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0
5919-TMRGD,0,1,79.35,79.35,1,0.9999998739760713,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
8108-UXRQN,0,11,50.55,565.35,0,0.08941363598808462,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
9191-MYQKX,0,7,75.15,496.9,1,0.1512376705325484,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9919-YLNNG,0,42,103.8,4327.5,0,0.023986135126548503,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
0318-ZOPWS,0,49,20.15,973.35,0,0.02070170010066574,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
4445-ZJNMU,0,9,99.3,918.75,0,0.10808163147666251,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
4808-YNLEU,0,35,62.15,2215.45,0,0.02805299136494621,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1862-QRWPE,0,48,20.65,1057.0,0,0.019536423656230616,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2796-NNUFI,0,46,19.95,927.1,0,0.021518714038197453,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0
3016-KSVCP,0,29,33.75,1009.25,0,0.033440673436307425,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
4767-HZZHQ,0,30,82.05,2570.2,0,0.03192358558896745,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2424-WVHPL,1,1,74.7,74.7,0,0.9999998661312093,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7233-PAHHL,0,66,84.0,5714.25,0,0.014700091849848902,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1
6067-NGCEU,0,65,111.05,7107.0,0,0.015625439685344817,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
9848-JQJTX,0,72,100.9,7459.05,0,0.013527191782429141,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
8637-XJIVR,0,12,78.95,927.35,1,0.08513506135617555,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9803-FTJCG,0,71,66.85,4748.7,0,0.014077536980484055,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
0278-YXOOG,0,5,21.05,113.85,1,0.18489238604370786,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3212-KXOCR,0,52,21.0,1107.2,0,0.018966762834476493,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
4598-XLKNJ,1,25,98.5,2514.5,1,0.039172797617129454,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
6380-ARCEH,0,1,20.2,20.2,0,0.9999995049507402,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3679-XASPY,0,1,19.45,19.45,0,0.9999994858614468,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
7123-WQUHX,0,38,95.0,3605.6,0,0.026347903188518127,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
5386-THSLQ,1,66,45.55,3027.25,0,0.015046659459751721,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3192-NQECA,0,68,110.0,7611.85,1,0.014451151803502234,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
6180-YBIQI,0,5,24.3,100.2,0,0.2425149458567918,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6728-DKUCO,0,72,104.15,7303.05,0,0.014261164836251752,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
9750-BOOHV,0,32,30.15,927.65,0,0.032501481889705364,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
8597-CWYHH,0,43,94.35,3921.3,0,0.024060898110165253,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
2848-YXSMW,0,72,19.4,1363.25,0,0.01423069859357639,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
0486-HECZI,0,55,96.75,5238.9,1,0.01846761721264461,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
4549-ZDQYY,0,52,57.95,3042.25,0,0.019048401613777955,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
5712-AHQNN,0,43,91.65,3954.1,0,0.023178472918797013,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
4846-WHAFZ,1,37,76.5,2868.15,1,0.026672245082466937,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
5256-SKJGO,0,64,54.6,3423.5,0,0.015948590577045157,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
3071-VBYPO,0,3,89.85,248.4,0,0.3617149612836167,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9560-BBZXK,0,36,31.05,1126.35,0,0.027566919451618776,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5299-RULOA,0,10,100.25,1064.65,1,0.09416239990454703,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
8402-OOOHJ,0,41,20.65,835.15,0,0.024726096812236163,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
9445-ZUEQE,0,27,85.2,2151.6,0,0.03959843818740268,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
1091-SOZGA,0,56,99.8,5515.45,0,0.018094625065779538,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1
2928-HLDBA,0,6,20.7,112.75,0,0.18359200145525484,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0404-SWRVG,0,3,74.4,229.55,1,0.32411237969451623,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6497-TILVL,0,7,50.7,350.35,0,0.1447124262962059,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7219-TLZHO,0,4,20.85,62.9,0,0.3314784846616082,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4622-YNKIJ,0,33,88.95,3027.65,0,0.029379221411394242,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
4412-YLTKF,1,27,78.05,2135.5,1,0.03654881743596901,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
6734-PSBAW,0,72,23.55,1723.95,0,0.013660488914060798,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
3930-ZGWVE,0,1,19.75,19.75,0,0.9999994936711425,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2639-UGMAZ,1,71,56.45,3985.35,0,0.01416437699533447,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
2876-GZYZC,0,13,85.95,1215.65,0,0.07070291555379496,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
6207-WIOLX,0,25,58.6,1502.65,1,0.03899777034573739,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
8587-XYZSF,0,67,50.55,3260.1,0,0.015505659288041288,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3091-FYHKI,0,1,35.45,35.45,1,0.9999997179126324,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2372-HWUHI,0,2,44.35,81.25,1,0.545846086665097,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7799-LGRDP,0,43,25.7,1188.2,0,0.021629355145351328,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0
7850-VWJUU,0,23,75.0,1778.5,0,0.042170368050771054,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3774-VBNXY,0,64,20.2,1277.75,0,0.015809039203216285,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1
6217-KDYWC,0,57,19.6,1170.55,0,0.016744265373164195,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1
0390-DCFDQ,1,1,70.45,70.45,1,0.9999998580553785,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3146-MSEGF,1,72,88.05,6425.65,0,0.013702893849333696,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1
4080-OGPJL,0,8,71.15,563.65,1,0.12623081475683823,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
